,A2M,GP6,MYD88,SP1,EPS8,HSP90B1,PRTN3,CEBPB,SPI1,TRIP6,LILRB2,TICAM1,RIPK2,GATA2,GATA3,CLEC7A,IRAK1,HMGB1,PF4,IRF3,TRIM21,LY96,ITGA4,TLR6,CLEC4M,MAPK8IP3,BID,BLK,BLVRB,PTPN1,PTPN11,ADRB2,UBE2D2,FCAR,FCGR1A,FCGR2A,FCGR2B,UBE2N,IL1R2,ARFGAP3,PIK3R1,CMA1,HRAS,SYK,NFYB,AGFG1,NFYC,TOLLIP,HRG,CCL4,CCL5,GNAI2,PLCG2,MMP2,EEA1,PLG,MMP9,COPS5,BAG6,PLS1,SDC1,RAC1,DPP4,ATG16L1,FOS,SGTA,SHC1,CASP1,FAHD2A,APCS,CASP4,POMGNT1,APEX1,CRTC1,APP,LCP2,CBL,CXCL2,CREBBP,LGALS3,CRKL,CRP,FOSL1,ZNF675,CRYAB,PPP3R1,LAT,CD14,EGFR,EGR1,CSNK2A1,TLR1,TLR2,ELAVL1,ARPIN,IL1B,IL1R1,LYN,ACKR1,IL1RAP,FYN,ENO1,CTSL,PIK3R5,HCK,EP300,MAPK8IP2,CXCL8,CXCR1,CXCR2
CD,5.029808058,5.127300438,9.876982926,2.442952388,5.915429645,6.981888479,4.119982204,12.02340599,6.739126514,5.29726946,9.093209674,4.297540306,6.684089582,6.259037271666667,6.222912262666667,10.66542306,9.057180344,9.902433025999999,10.95507287,6.17164511,6.672917156,8.743004015,7.156727833333334,5.450496056,4.4175239155,4.396785572,7.8616160399999995,4.0579551825,8.277767518,4.217785095333333,5.665101646,6.128953741,7.5506743709999995,5.98682195,4.829740734,8.586613081,6.253909609,7.929248459333333,5.9772141975,7.667405098,7.5018136926666665,4.37920156,5.632090123,5.9828178535,5.628496420333334,6.08633776875,5.92447523575,5.912462717,5.095337293,6.023837343,10.22778624,8.419407972,6.647215013,5.061927103,2.0546776295,2.070317624,6.763694016,7.546024861,7.626440677666667,4.287513753,3.8846718905,9.6095212275,2.825410728333333,2.211905672,11.50885442,4.615593705,7.3371612355,8.031311096,3.8251839515,4.904864989,6.365921116,4.299021054,8.633704109,4.987223312999999,6.979669583000001,8.3336315115,5.783116015,9.594933926,6.372706188,10.66945559,7.350402170500001,1.7369053929999998,3.110143703,3.985933451,5.829650467,6.4398244590000004,6.4775614995,10.59213812,3.5474642623333335,8.0975384615,5.1185720645,7.16927772,8.152152485,6.7533577025,4.482831984,7.996117364,6.0488597065,10.14866653,3.148678938,4.907854214,8.727123255,8.715779268333334,8.505106499,7.875078189,7.791725282,6.3765831715,4.1118129175,11.69471824,3.831719695,5.292426525
CD.1,3.146278215,6.007129399,9.723968191,5.27764217,5.733244407,6.9518416625,4.66568698,12.32819398,7.015388414,4.101319826,8.4441918595,4.642824717,6.304270436,6.229954199999999,5.891315179666666,9.648248394,8.842000898,10.085563255666665,11.59396284,5.977085741,6.850764457,8.495260307,7.762972105999999,5.346867954,3.7822653595,4.329401027499999,8.042339947,5.46203246,7.397617881,3.589834591666667,5.472475387599999,5.01650185,7.449396347,6.734367240599999,4.657977172,8.479853282,6.062855993,8.495779531666667,5.828204035000001,8.236860787,7.2359187836666665,3.1117667,5.430674196,6.929256683,4.963288027,6.23261815,6.027215641,6.153551318,4.4780276355,5.781736118,10.1758882,8.921206457,6.902747353,5.208952191,2.5888780584999997,2.059744335,7.567442433,7.138332197,8.053908974,3.368815283,4.176400494999999,9.9532146525,4.220467067,3.953232943,11.37689795,4.808181932,6.655399269,8.6860743622,4.667356283,5.216851894,6.0317597625,4.862554845,8.406006756,4.77853376,6.946948613666667,8.172431508499999,4.308824546,8.803572061,6.77077327,10.15456633,7.3896265475,1.685908415,3.510563914,4.484470087,5.999381977,6.7682683865,6.595098591999999,9.918697773,3.3799662073333336,9.441057673500001,5.357091205,6.810605976,8.590044896,6.8714591125,4.605703395,7.8341839215,4.782386818,9.898564577,1.833117029,4.046621842,7.654652623666666,8.866624131,6.864398137,7.544264399,8.170137873,6.4079670045,4.103792437,10.998915610000001,3.11256214,5.708820661
CD.2,3.658340029,4.480355648,10.31083068,4.068822475,5.907562662,6.4881133040000005,4.698853997,12.31323829,6.041212607,5.021365743,9.0708496435,5.160307246,6.2860114265,6.453997538,6.432941918,9.91206811,8.893886572,9.423242669666667,10.73256852,7.006725349,7.179501413,9.201136436,7.808260392666667,5.321024911,3.558658415,4.44158251875,8.0459380965,4.8004295425,9.175810339,3.4715874049999997,4.566486644399999,5.951911222,7.6416807926666666,5.2403746048,3.44572763,9.441531975,7.109021208,7.992002479666667,5.5963925334999995,7.254450868,6.533436651333333,3.699808422,5.576843657,7.0004831565,5.2011534280000005,5.2214305025,6.155344503,6.896651028,4.9238333035,7.310675425,9.5747156545,8.581735512,7.051653732,5.126529126,2.394947304,1.932113623,7.843121113,7.180300267,8.947502394333334,4.701564601,4.098350634,9.8401911605,4.735543856666666,1.883619328,11.82575435,4.304136708,6.052646298000001,8.913386730400001,6.2935680995,4.813637304,5.7501030275,5.636389577,8.548804784,4.8853223485,6.667494750333333,8.0975028245,4.513983998,9.165510249,6.478432462500001,10.87155269,7.400911236,1.6005814445,3.641446746,2.891741389,4.348707298,6.422640320499999,7.062174019,10.77042447,3.7870868538333333,8.5956184335,5.692906506,6.944217632,9.013373404,7.0918756824999996,2.92553184,8.869633863,3.3003429009999996,9.642896917666667,2.656189429,3.629350686,7.8777400963333335,9.237200179333334,6.725501468,7.100752692,9.493820819,6.412579733499999,4.11371045,11.60695248,3.836178713,6.127710856
CD.3,2.287475692,5.732721448,9.612862199,5.443365079,1.53264358,4.157983851,1.863621515,11.60763817,6.417947968,5.294173005,8.2570014,4.876808907,6.303574739,6.898865011666667,5.939878795666666,9.805640761,9.708131453,9.326766977333333,11.95225205,5.730466443,6.541236195,8.547144458,5.018728384,5.383059792,4.250003649,4.80650986325,7.720744359499999,5.39273365,10.18445252,3.8913852230000003,4.783004119,5.679146576,7.520166121333333,5.8009355904,4.167899498,7.854709565,5.635303763,7.773685367,4.2876123165,7.620095131,6.605006603,4.627229346,6.70702177,5.9497135235,4.711813240000001,5.56730615775,5.937598141,6.996545312,5.123368927,6.450191114,10.692971799999999,8.114021319,6.706685641,5.796061995,2.4504329665,2.454269644,6.821431174,6.882744082,8.561644132333333,2.823693591,4.2603497255,10.0438261845,2.7252835036666667,3.015409692,10.76656639,4.033633763,6.9812509165000005,7.8764598928,5.0467416815,4.366495048,6.30048014,5.080499271,8.744658421,4.3659499355,7.032395390333334,7.641196067499999,4.05932314,9.617969789,5.906137654,11.50885442,7.141410543999999,2.763572203,5.62560037,3.145901017,6.082797593,6.6801639989999995,7.425064842499999,10.31392815,3.6596260898333335,9.343176771500001,4.4181990227500005,7.201857724,8.934518428,6.765420432999999,5.275224253,8.609964792500001,6.4025396985,9.477925831333332,4.631002618,4.8785349705,6.979911576666666,8.854568617666667,9.964764412,7.774887411,7.393713164,6.002591468,4.5763386950000005,10.909718032499999,2.26379779,5.29984272
CD.4,4.446963067,5.399933909,9.692476121,2.437017787,4.931632531,6.790608875,2.714365151,12.33846587,5.64060453,4.784780561,8.4679177095,5.213613196,7.164474856,6.062063897666666,6.267593300333334,10.16738334,9.203683918,9.983297199666668,11.44262604,5.733244407,6.990463849,8.960746759,7.171923862,5.077205995,3.55205942,4.8939166284999995,7.4066019149999995,4.936033692500001,7.914417071,4.065259097333334,5.2877744954,5.739522144,7.49571448,6.0687012956,3.738743237,8.77710022,6.603191062,8.362442035666666,7.432089053,8.152797148,7.416191670666667,2.871025334,5.452182661,6.4435967025,5.093809707666667,6.34154566375,6.09122651375,6.149886796,5.1864935405,6.358279016,9.598129029999999,8.563394929,6.496060701,5.232826165,1.806507221,2.012487355,7.159590459,7.680678828,8.126731151666668,2.345000244,4.299836018500001,10.012967721999999,5.065287976666666,1.756612979,11.59396284,5.7750089,6.6839807695,8.6864628758,5.730754957,4.862817455,6.3628510055,4.394031863,8.426618284,4.626721202500001,6.908190196666666,8.105153982000001,4.910957106,9.553330956,6.6021875765,10.34191468,7.299398785,1.9328284695,5.011178627,3.075162901,5.435223292,6.3004839175,6.534460489000001,9.410488023,3.5129086038333335,8.8740993165,5.6296629437500005,6.892079059,9.363327612,6.934559051000001,5.263039393,7.222471552,5.063911475499999,9.154856693,2.204202601,5.82068364,7.965902158,8.483196297666666,5.859885023,7.394154766,8.131517902,6.101575021,3.39471457,11.30173756,3.518569739,6.091862648
CD.5,5.022544683,4.988823082,9.540964094,3.268831241,5.868635296,6.607236776000001,3.791187077,11.89637408,6.200243513,4.262450316,8.02790572,4.508796895,7.467472054,6.163749831333334,6.190505074333333,9.397652142,9.092565035,10.038092336,11.4568824,6.431848941,6.925224971,8.119082728,7.322855136666667,4.866540342,4.2258828045,4.7348209335,7.918943916,4.581072527,7.462164018,4.3184589896666665,5.6829090506,5.612380307,7.534155158333333,5.2000402206,3.585257332,8.245324983,6.406069763,8.261786221666666,4.531395021,7.867425568,7.112025868,2.756320152,5.218554286,6.16087118,5.504009089666667,5.5416612805,5.8397561625000005,5.64411613,4.3203903505,5.962646907,9.4984053815,8.570731765,6.641867062,4.047913976,2.8316968805,1.572978108,6.469242084,7.795436847,8.077597714666666,2.455096714,3.2542614355,9.802000672999998,4.843960516666667,2.822119059,11.68738845,6.00993301,6.467763870500001,8.348198917400001,5.710810467,4.906448195,6.577557294,4.582379053,8.874611363,4.3955547115,6.6609411640000005,8.2652266705,5.457614904,9.277755814,6.8146157965,10.4007333,7.5718688095,2.390671542,4.443965405,3.406489392,5.744881629,5.745585826,6.654261028500001,9.464305582,3.211331088,9.4170434085,5.5199129635,6.856764104,7.772324675,6.9949761225,5.08707814,8.9687554985,4.4244988055,9.545444806,2.594514896,4.511438617,7.921277644,8.373255049666666,7.020957767,7.320046318,7.152423028,6.689623205,3.5986202890000003,11.537249185,3.281278488,5.248183229
CD.6,2.672978097,5.513763877,10.21220074,1.042727112,1.574030036,4.9098541475,5.304916477,12.12961951,5.621908336,4.991244627,8.599457299,4.317798752,6.999606217,6.516726111666666,4.746763254,9.713320385,9.08357522,9.629138280333335,11.26900777,5.103437229,6.814981015,8.886029874,6.320583448666667,4.003275485,4.5136402295,4.9509009305000005,7.2668664844999995,4.8339853685000005,8.286665328,3.9208476326666664,5.1040119798,6.618986743,7.470143424,5.9634518407999995,4.620127296,9.542389738,6.477119824,8.070529697666666,9.2865679965,7.975338839,6.867540108666667,2.202452887,6.305196557,5.2213737525,4.490843976333333,6.24662507475,6.5751338975,7.235613601,4.9716055535,7.823126982,9.829045320999999,8.902039774,6.840050813,5.342331255,1.6319607535,3.276107794,10.25707581,6.895898542,8.775349617000002,2.27313807,3.613379126,9.5229309165,3.9815209233333335,1.481915684,11.71048316,3.081149248,6.742770702,8.1405285488,4.879597157999999,5.905786754,6.4020280495,3.955985086,8.633704109,5.5510263455,6.507231252333334,8.119867894999999,3.942463629,7.645156221,6.345257546000001,10.70890604,7.560263398,2.353609827,3.276828487,4.472923268,6.15876496,5.705679025,6.1999629235,10.17238046,4.559861844166667,9.070138346,4.76743875925,6.941215783,10.03689292,6.760728263500001,5.050869072,5.858975340000001,5.4918327965,9.64952223,2.729771044,6.3304501545,8.097755034,9.055549582666666,7.37757402,8.126821133,8.893886572,6.3219115245,4.631351069,11.22157394,6.687387959,5.37277619
CD.7,4.495749383,5.112460354,9.916740312,1.390770361,5.638502513,6.5859840475,3.945536522,12.32819398,5.948871913,4.623654538,8.885598073499999,5.103186232,6.98402094,6.280362504666667,5.797650968666667,9.404763142,9.220161179,10.012172158666667,10.44960464,6.690676129,7.087829893,8.550342674,7.629369045,5.357290798,3.7387975439999996,4.3699841125,7.3632764015,5.114972154,7.5651187,3.2802312876666666,5.012361829800001,5.816979121,7.575869494,4.9822955942,3.656776272,8.591696807,5.976523105,8.316067736333332,5.055547417,7.722808116,6.662635772333334,4.189651875,5.883041001,6.727815832,5.301451013666667,5.655397505250001,5.98973866425,5.932008921,3.615112533,5.824706457,8.614591777000001,8.674064193,6.906392613,4.755766648,2.065659058,2.963992409,6.726147215,7.394154766,8.560550002666666,4.295995282,3.8228518045,9.765108420499999,4.840510386,3.470092587,11.13376914,5.226871613,6.7436105855,8.826645814399999,6.046866849000001,4.835483217,5.7410709685,4.548348854,8.675908177,4.2971927875,6.598096587666666,8.423808213000001,5.206700652,5.260949407,6.607990352,10.06331223,7.4143397585,1.863416263,3.531034241,3.666561852,5.587095355,6.263738547,6.9659905165,9.675057448,2.8805331578333333,7.107434144000001,4.9293383662500005,6.537795443,8.080856827,6.933478880999999,5.161547154,6.7360059230000005,3.4233623595,9.441656263,3.115603045,3.551358035,7.681293979,8.619406868333334,6.75965861,7.18069623,8.538992488,5.8402158669999995,3.4789524645000003,9.966640638000001,3.616768935,5.343052683
CD.8,4.801027671,5.443612842,10.27493388,3.747814395,5.958429251,6.0326224580000005,1.743096748,12.09451669,6.785011679,5.716171597,8.298045044,6.120371902,7.2316716025,6.255459423666667,5.323275024,9.543963204,9.692476121,9.718079662,11.29270897,5.875934747,7.463469453,8.680045499,6.888668464999999,5.502425582,3.9104243800000003,5.134209652,8.0106638605,3.5923771044999997,7.586314533,4.722529562333333,5.5880107648,4.925283068,7.418905446666667,4.3900870362,4.376549879,9.467566792,6.502504307,7.829924269999999,5.436539316999999,7.4346135,6.350564264666667,4.942281653,5.93108905,6.536462637,5.249701514666667,6.0219209035,6.3116251375,6.770722658,4.714842345999999,5.317592837,9.492679788,8.505920979,7.278298703,5.198640455,1.2713811105000001,2.139454418,6.66672289,6.948953769,8.986439610666666,1.509401964,5.143178363500001,10.394295725,3.9121402483333334,2.433799122,11.44951264,6.421718236,7.2580475865,8.3105604268,5.23109876,4.716353534,6.1899186425,5.236377717,8.771532795,4.904560025,6.681355231333334,8.6783865475,3.605032655,6.571892004,6.3219427105,10.91981816,7.142271447000001,1.43339248,4.159041478,2.936699697,3.993924413,5.6155218295000005,6.561238206500001,11.13808824,3.7613951148333338,7.4355439105,5.70650659075,6.637161015,8.445952762,7.067767483500001,3.251846623,5.715525014000001,4.240174004,9.868715377000001,2.986693383,4.770610532,7.421506347666667,9.053112673,8.18142863,7.759546139,8.522191098,6.739314629,4.1304675490000005,9.506436088500001,3.108908821,5.185893192
CD.9,4.393427229,5.226627332,9.849401788,3.094669993,6.032593983,6.7554363865,3.376584178,11.81200136,5.699487595,4.871702686,8.187370909,4.805806001,6.822312926,5.804695462999999,6.730186179,9.883013417,9.629827938,10.176903708333333,10.92960656,6.01819442,7.563730883,7.540005769,7.0379173323333335,5.219765173,3.7720459195,4.6386678759999995,7.5762896775,4.8169928605,6.584746989,4.162761275,5.2400665338,6.208196138,7.38626495,4.974824434,4.177018419,8.126252908,6.436212728,8.490212637666668,5.3657245645,7.611471,7.8000061249999995,4.266398941,4.950313338,4.4707669935,5.818342428333334,6.01758856525,6.096336115750001,5.805835259,4.662794846,7.207191715,9.690015138,7.959233714,7.172566135,4.421002843,2.2140695145000002,2.025829986,5.663471814,7.882077386,7.8649801020000005,3.276828487,4.3379259215,9.985114762999999,3.6608880626666664,4.04627334,11.18451533,5.821866472,7.393566395500001,7.801351219999999,3.6095047840000003,4.469172135,6.5815028965,4.470375044,8.537444691,4.6251916845,6.135116718333333,8.3873090505,5.438106784,9.074713734,7.01018311,9.784048933,7.3142129115,2.126493105,3.037026277,4.435576782,5.735464377,5.5048476025,6.6734781215000005,9.601640829,3.5736717886666667,7.858681891,5.21297534125,6.967297652,7.522754819,6.5922336905000005,4.409888108,7.633098199499999,3.964610638,9.279493223666668,2.533052084,3.5148344245,8.820849706666666,7.888689958666667,7.73606299,7.583561123,7.712706802,6.4906557005,3.599178032,10.7862022355,3.513726803,3.309055541
