,A2M,GP6,MYD88,SP1,EPS8,HSP90B1,PRTN3,CEBPB,SPI1,TRIP6,LILRB2,TICAM1,RIPK2,GATA2,GATA3,CLEC7A,IRAK1,HMGB1,PF4,IRF3,TRIM21,LY96,ITGA4,TLR6,CLEC4M,MAPK8IP3,BID,BLK,BLVRB,PTPN1,PTPN11,ADRB2,UBE2D2,FCAR,FCGR1A,FCGR2A,FCGR2B,UBE2N,IL1R2,ARFGAP3,PIK3R1,CMA1,HRAS,SYK,NFYB,AGFG1,NFYC,TOLLIP,HRG,CCL4,CCL5,GNAI2,PLCG2,MMP2,EEA1,PLG,MMP9,COPS5,BAG6,PLS1,SDC1,RAC1,DPP4,ATG16L1,FOS,SGTA,SHC1,CASP1,FAHD2A,APCS,CASP4,POMGNT1,APEX1,CRTC1,APP,LCP2,CBL,CXCL2,CREBBP,LGALS3,CRKL,CRP,FOSL1,ZNF675,CRYAB,PPP3R1,LAT,CD14,EGFR,EGR1,CSNK2A1,TLR1,TLR2,ELAVL1,ARPIN,IL1B,IL1R1,LYN,ACKR1,IL1RAP,FYN,ENO1,CTSL,PIK3R5,HCK,EP300,MAPK8IP2,CXCL8,CXCR1,CXCR2
CD.18,3.790102256,5.952477747,9.751599137,3.878382937,4.732982119,3.996449386,2.449101746,11.95949621,6.135452481,5.364084889,7.896646104,5.637157235,6.077277365,6.360757585,5.189995712,9.132342764,9.29540258,9.72495737,11.74551778,6.718943952,7.546024861,8.011272026,6.016243011,5.530105583,3.212156367,4.929564764,7.250343232,5.302969358,9.472439746,4.058450622,4.704926436,6.45284094,7.184041471,4.754306682,3.570986067,7.791725282,5.514771667,8.40676847,4.020918455,7.296231566,7.247556928,2.623335484,5.506506686,5.169492021,4.656890466,5.390659213,5.282287168,5.873702205,4.388432376,6.365115035,10.52708849,8.672263126,7.131332616,5.719043831,1.746522383,1.53374306,6.399830372,6.886587638,9.100191689,2.31316098,3.781600161,10.34312753,3.955706578,3.75556522,11.54583468,5.603262225,6.886739661,7.279277376,5.613702096,5.264854546,5.956757975,5.490225794,8.886938493,5.446811392,7.387850074,7.698979474,4.130461584,9.346144793,7.155046599,11.32141268,7.403976584,3.314887416,4.985721341,3.666561852,5.53084999,7.329106138,7.178852773,9.715297027,3.916107696,10.15883235,6.359020595,6.050937323,7.593930058,6.492287733,5.83515817,7.584931419,3.562667533,8.974194289,3.531382052,2.579279867,7.342288219,8.03474455,7.163718281,7.389739558,7.430290344,6.745997041,4.799056169,10.37375867,3.806895884,3.698676589
CD.19,2.099083377,5.575813086,10.60299914,3.139035026,4.980656161,5.123923764,4.888079784,12.4607712,6.448890845,4.592220198,9.085693992,4.982501286,5.966782537,6.285805415,5.327862561,9.570917864,8.855105708,9.535678137,11.78226283,7.730159155,8.236860787,10.3566468,6.886401503,5.091784495,3.672612209,4.63503246,7.844954484,4.555559006,7.687560907,3.022932839,4.48765162,4.967127162,7.512862427,4.766625432,5.048577849,9.905924814,6.785387852,7.588706112,6.752979821,7.530543176,5.431500064,1.231760797,5.292909365,6.873049716,4.807056204,5.69121996,6.443340167,5.792864688,4.2192301,4.324435053,9.404181461,8.933393613,7.862618116,5.000107168,1.754007152,2.440840883,9.53490405,8.071670291,8.573862769,5.26200068,4.968253901,9.607828208,4.771245803,2.366763658,12.08829261,4.738157195,6.19105631,9.442480651,5.398042858,4.444507359,6.822118512,6.010890672,8.638850767,5.121934032,6.313542787,8.822898542,5.384047756,5.807138063,5.605570011,9.922787149,7.039787111,2.695806849,4.978828067,3.549933211,5.394740056,5.834678247,7.378172263,10.73256852,3.43600671,9.671716446,5.282160217,6.623694766,8.841205975,7.070700848,5.003960515,7.545909023,4.839906893,9.43060314,2.636687076,4.334369039,7.650396411,8.985368789,6.107583772,7.41878928,10.27767593,5.490372817,3.75317969,11.42029679,8.132837833,9.612862199
CD.20,4.236214918,5.282509851,10.50615994,4.868636126,5.243702563,6.574639972,1.424633265,12.16004044,6.489984512,5.405455745,8.960956323,5.631266964,5.980538566,6.120453235,4.042750875,9.368729957,9.043683904,9.776963376,11.71048316,6.691718266,6.456971336,9.948447611,7.841712135,5.899960754,3.835991996,4.609826251,8.250048337,4.990111623,9.104162354,3.751729571,5.62198809,5.917275028,7.304418713,5.811273835,4.53387645,10.10731889,6.580776791,7.598531637,6.826500682,7.017994038,5.641919967,3.881121986,5.66370661,7.596285394,5.2787493,6.178043773,6.645511733,6.757440896,4.670962651,6.527051671,8.926500315,9.350659951,7.935736657,4.536921317,2.81961278,1.525088125,8.842807968,7.840397289,8.577656192,4.296953101,4.142012844,9.737531383,4.165028135,1.965107369,11.56689509,5.260439109,6.975273802,9.710184689,5.856669941,5.088808196,6.33704598,4.604690116,8.743004015,4.683627741,6.706595908,8.624822998,5.465274624,8.5182799,6.880415595,10.43741224,7.237120881,1.808804145,6.066580343,2.996860281,5.185765445,6.122586261,6.082702186,11.28106595,3.156712701,9.854403408,5.599146013,7.300424832,8.884038215,7.315909318,4.41393055,8.586013762,4.146283319,9.955089809,2.938340135,5.067159838,7.678040619,9.174027911,6.982749061,7.494771142,10.5165456,6.50475902,4.101923791,11.61577469,7.430706907,9.041543106
CD.21,4.398508663,5.074723986,9.727731096,1.233579007,3.502637791,6.704129366,5.069019017,12.03569971,5.495236755,5.504967957,7.75406641,5.592074628,6.4614152,6.021512638,6.075642119,9.229171323,9.243908327,9.863578714,10.21220074,7.044028349,7.310675425,8.682551058,6.59844183,4.750545843,3.856818429,4.626481275,7.412690401,5.450161437,7.439252985,3.472200609,4.745931902,5.596310625,7.392005573,5.201472042,3.937874659,8.677635118,6.809497718,8.329371598,6.758254102,7.797570744,7.333136139,2.63584353,6.081029151,4.613985274,4.834301095,5.754644837,6.041546552,5.386041242,4.445040882,7.721735291,9.67696472,7.942106718,7.275717602,4.691434828,1.936892169,1.958825418,8.39623617,7.485680582,8.31600022,5.071779712,3.64312514,9.596716335,4.039493756,2.420918767,11.48802864,4.54778271,6.351974549,7.801517517,5.612031872,4.805552192,6.370857507,3.991992622,8.678464531,4.453600278,6.130660874,8.022882527,4.962594217,8.80942622,5.548487232,9.862805029,7.268044531,2.560730366,4.853348226,3.026059836,3.645737413,5.482278708,6.620465165,9.61969956,3.560785656,8.078343311,5.590513319,6.907092719,8.03116954,6.775469013,4.043025345,7.847874713,3.954522344,9.462189099,2.243877967,5.395047069,8.003022071,8.78218231,6.439351812,7.55466991,7.667878574,6.482362266,3.961067816,11.3451798,5.74860583,6.087507312
CD.22,3.659424125,4.103548679,10.02532865,2.059744335,5.52727148,6.605962379,3.622820397,12.09451669,4.575332418,5.563683523,8.956018824,4.365966129,6.863564211,6.462391354,5.678766005,10.34749075,9.06280616,9.6430661,10.54508734,6.149886796,6.719911289,9.398822209,7.645403736,5.277118625,4.438191797,4.489597293,7.930268482,3.26998645,7.64173399,3.632388133,5.150137579,6.344745814,7.451083769,4.977650401,3.429555935,9.493820819,7.501940128,8.092279645,9.152535454,8.084868061,6.533428471,3.933418806,5.161803215,6.794482118,5.193506496,6.19053413,6.197784441,5.972527321,4.556800131,7.025198643,9.108494214,7.595885937,7.131676619,5.207462775,2.410799834,2.103710218,8.226880723,7.698625544,8.380035969,2.692656066,3.808714169,9.523473086,4.610644996,2.369284424,11.75309736,3.98387576,5.167330079,8.801746597,5.674167383,4.948822207,6.265472874,4.948320901,8.813357368,4.656032753,6.393162455,8.066669588,5.934629906,7.848275317,6.248527139,10.10731889,7.202607208,1.547615397,3.205598231,3.782151541,5.589919231,5.563786888,6.674299344,9.685799317,3.652856368,8.216725368,5.347432947,6.946703811,9.377272316,6.958430439,4.737903534,6.754235379,4.368839009,9.634152824,2.217183761,5.9964131,7.61083962,8.465881465,6.265518982,7.18908208,9.089208795,5.664672461,3.665745567,11.58541061,6.501491425,6.797344034
CD.23,5.064193816,5.156008686,9.966738877,2.252252213,5.060927076,5.254395427,4.240442318,11.32141268,5.966833789,6.102875871,8.053316737,5.662981406,7.62117539,6.093754624,5.810991257,8.317867581,10.30827448,9.258057083,10.99016291,5.651614522,6.551335964,7.82699431,6.194439684,4.688842517,3.143513749,4.737349849,8.377036979,4.862226781,7.699577055,4.199101265,5.592896792,7.103208237,7.683867527,6.477889181,3.732901795,8.448405724,3.678217518,8.179533342,7.616272061,8.818280806,7.157654027,2.931995659,6.0398264,5.276419226,4.682266012,6.542583369,6.19787893,6.862056438,4.217121477,12.41418236,10.33651887,8.239442108,7.076012478,4.850688388,2.608295869,1.466013523,8.052940797,5.991008188,8.751293088,4.897688021,3.376707702,10.35424383,3.723919393,3.576144311,11.21198609,5.440301572,6.811665823,8.395772428,4.596638537,5.0193534,6.174566515,4.897954373,8.307999183,4.997581294,6.360751585,8.442583369,5.339305828,11.91696251,6.342518692,11.11775991,7.330173869,2.655252262,5.342815791,4.052204569,6.15385539,5.866632364,7.125224326,10.29186314,3.604143567,10.12874466,5.96242954,6.080459177,9.993641053,6.905826556,5.326795439,12.59548861,8.009092848,9.916454122,2.729771044,4.290464773,8.662918906,9.863261235,11.04640795,8.411117384,8.786642907,5.291028495,4.28301828,12.41590455,3.867789093,5.62106709
CD.24,2.566284175,4.710669103,9.758995514,2.271904828,3.673095699,6.197185932,3.231834148,12.18112781,4.694939275,5.12931588,8.75817642,6.019560891,7.023952804,5.945781433,6.62907429,9.124332275,9.18566976,9.70685306,10.87155269,7.367498228,7.24028397,8.37798354,7.026666645,4.995633764,3.356010533,4.763934583,6.981823862,4.780347951,7.970954062,3.856419059,4.562476786,5.897940712,7.553553079,4.620010903,3.361320704,9.101914565,7.710756584,8.32613473,5.427463462,7.765857497,6.186916124,3.979087815,6.091862648,6.059710062,5.24540989,5.28675159,6.155064877,5.698394467,4.260291863,7.935128509,9.997600529,8.712267039,7.516224937,4.02406409,2.468804127,3.206003964,7.417459091,7.702582966,9.23822697,2.330285055,4.692665128,9.325198993,5.361322624,4.072372176,11.83328719,5.611398055,6.384303536,8.490767419,6.535463039,3.617171168,6.199470984,5.421489145,8.601590741,5.328643832,6.133565436,8.490368281,5.132398279,8.707902628,6.587577031,10.10242119,6.905100321,1.809826819,5.420700662,3.297907232,3.941008446,5.121292015,7.730430693,9.780343376,2.99053754,8.267640695,4.904612926,6.302110167,7.880536861,6.743783542,4.665434202,8.37550122,3.239205019,8.484309918,2.465511103,3.570114303,8.026963781,8.530359859,5.92993924,7.057105731,8.77710022,6.404506945,4.024377902,10.76330778,3.053239041,5.34713707
CD.25,1.694726815,5.177738701,9.758995514,3.072004271,4.803836145,6.948896111,3.76016507,11.62175903,6.005009033,5.176999297,7.774740881,5.403163382,6.346751089,5.562622359,6.186112938,8.857110829,9.092565035,9.909722867,10.99555605,7.731906262,7.227764344,8.808445841,7.37989929,5.513763877,3.889557796,4.526681015,7.034028812,6.034469212,7.37251123,3.906677838,4.964957287,6.057498557,7.806406782,5.022571556,3.269643922,9.28856836,8.131517902,8.182860586,6.608962615,6.828004409,6.40812696,2.712726356,5.583394859,7.448407101,5.246277393,5.633206144,6.486744064,6.465052145,3.967047433,6.143062537,8.934495348,8.949905473,7.983105228,3.872604066,2.427358631,1.850789414,8.117247213,7.484350257,8.851972474,2.68688807,4.530604822,9.493399642,4.152014383,2.82017367,11.56689509,5.994743286,6.760371163,8.433276805,6.041204796,5.101684538,6.143909641,5.160545922,8.774289121,5.052577069,7.01874411,8.091267369,5.11222643,6.235788318,6.875932562,9.20248721,7.07018108,2.237672481,4.634789714,3.656370096,3.425741355,6.381454845,7.185346966,10.48371484,3.190586335,8.628048734,6.173039396,6.23281908,8.215347038,6.603536055,4.781200559,7.333376471,4.024689686,9.52991128,1.877378986,4.772894544,7.747539656,8.879260531,5.743531772,7.18069623,9.101914565,5.607350295,3.366094436,11.29692856,5.663233315,7.668947488
CD.26,2.565933957,5.242130273,10.14197229,4.438470309,5.17335512,6.925170474,4.181049302,12.14669222,6.995771431,5.32126065,8.308466749,5.365196208,6.391205346,6.486012306,4.733946724,9.729290232,8.84035344,9.767684031,11.66620744,7.109021208,7.152786231,9.170015255,7.515068705,5.471068874,3.224124387,4.907516937,7.722512039,5.198437093,9.188102933,3.259813726,4.966069486,6.379704826,7.313030055,5.197021258,3.915829236,9.617969789,7.434155518,7.799466024,7.0796991,7.425357503,6.242096587,3.635187999,6.41392582,7.042710668,4.965894614,5.306795979,6.290015851,6.649911975,4.877751668,7.004905983,9.787750119,9.061774672,7.668947488,4.770131197,2.123821602,1.89378936,8.445952762,7.067880467,8.929210673,1.422030811,3.494308354,10.1840141,4.532122061,3.175080963,12.16601419,4.883527744,7.100816041,8.622883222,5.574215113,4.498883686,6.420207802,5.417623775,8.28097952,4.587331894,6.521172585,8.644471027,5.149428192,8.055825199,6.90915551,10.74529288,7.352863058,1.922928798,4.220841837,3.812776198,5.52727148,6.56503893,6.98053147,10.25575717,3.448042914,9.316422875,5.670887237,6.643213041,8.772416152,6.89117215,5.156989226,7.456056403,5.0430177,9.810579762,2.251043262,4.518835335,7.569660641,8.982291178,6.448043426,7.596339405,9.255568878,6.340427079,4.077580579,11.82906722,6.979689334,7.743398059
CD.27,2.199189548,4.72590525,10.47748,4.960855699,4.951298324,5.817342051,4.768006716,12.57566143,7.52679764,4.94595705,9.064200844,5.056226776,6.370742526,6.113346895,5.202836016,10.36223991,8.593257172,9.929933086,10.64293206,7.356446177,7.092981159,9.801610073,7.396353833,6.444258085,3.730923383,4.174373846,8.018204189,4.812371999,8.117247213,3.262830639,4.657207926,6.32642596,7.194742336,6.758523817,3.567066636,10.34749075,7.186501426,7.362742209,10.26095507,7.862618116,6.345589603,3.617171168,5.193788975,7.303590118,5.377366821,6.104311689,7.027527264,6.822835907,4.693602908,6.666032511,9.236014303,9.342072325,8.002627409,4.981415264,2.483297242,2.77686819,10.50615994,7.38057088,8.545554961,3.50782028,4.354130051,9.732923607,5.091331981,3.745315961,12.40429396,3.91020876,6.786792426,9.065281477,5.937221962,3.921792638,6.343179196,5.039315914,8.137431165,5.269280967,6.580008957,8.72848292,5.853141674,7.363362683,7.61846971,9.763010033,7.362173711,1.628188274,3.126385047,3.344760182,4.186872195,7.19013885,6.848957252,10.41307714,3.539774401,10.05705073,5.748691074,7.481586891,10.20233932,6.834966089,4.598335199,7.196805337,5.651443879,10.1213526,1.751773048,6.224228786,7.659051122,8.671101385,5.035992442,8.011272026,10.20739645,6.206163842,3.817893664,12.03956763,8.343496352,9.842964957
